Walsall,
Months,Dates
January,""
February,""
March, "26,31"
April, "1,20,22,23,24,28,29"
May, "6,7,8,11,13,14,18,19,20,27"
June, "2,3,4,9,11,12,16,17,18,24,25,26,29,30"
July, ""
August, ""
September, ""
October, ""
November, ""
December,""
,
Birmingham,
Months,Dates
January,""
February,"4,5,12,13,19,20,26,27"
March, "4,5,9,10,19,20,26,27"
April,
May,
June,
July,
August,
September,
October,
November,
December,
,
Manchester,Dates
January,""
February,"4,5,12,13,19,20,26,27"
March, "4,5,9,10,19,20,26,27"
April,
May,
June,
July,
August,
September,
October,
November,
December,
